name,key,id,url,status,potkey,potid,poturl,dois,comments,units,atom_style,pair_style,artifacts,symbols,elements
2018--Mendelev-M-I--Tb--LAMMPS--ipr1,c0aa8f35-ddfc-48aa-8737-655dacc46e95,2018--Mendelev-M-I--Tb--LAMMPS--ipr1,https://potentials.nist.gov/pid/rest/local/potentials/2018--Mendelev-M-I--Tb--LAMMPS--ipr1,,ed3a1bb7-3c6c-47f6-b3ca-e05870435610,2018--Mendelev-M-I-Zhang-F-Song-H-et-al--Tb,https://potentials.nist.gov/pid/rest/local/potentials/potential.2018--Mendelev-M-I-Zhang-F-Song-H-et-al--Tb,['10.1063/1.5026922'],"Potential 2018--Mendelev-M-I--Tb--LAMMPS--ipr1 listed in the NIST Interatomic Potentials Repository:
https://www.ctcms.nist.gov/potentials/entry/2018--Mendelev-M-I-Zhang-F-Song-H-et-al--Tb/2018--Mendelev-M-I--Tb--LAMMPS--ipr1.html
",metal,atomic,eam/fs,"[{'url': 'https://www.ctcms.nist.gov/potentials/Download/2018--Mendelev-M-I-Zhang-F-Song-H-et-al--Tb/1/Tb.eam.fs', 'label': None, 'filename': 'Tb.eam.fs'}]",['Tb'],['Tb']
2018--Pan-Z--Ag-Ni--LAMMPS--ipr1,5c6b90da-f02e-4980-8e24-ee957c28c1a7,2018--Pan-Z--Ag-Ni--LAMMPS--ipr1,https://potentials.nist.gov/pid/rest/local/potentials/2018--Pan-Z--Ag-Ni--LAMMPS--ipr1,,173f2416-dd88-403e-8b0a-8ac993c27205,2018--Pan-Z-Borovikov-V-Mendelev-M-I-Sansoz-F--Ag-Ni,https://potentials.nist.gov/pid/rest/local/potentials/potential.2018--Pan-Z-Borovikov-V-Mendelev-M-I-Sansoz-F--Ag-Ni,['10.1088/1361-651x/aadea3'],"Potential 2018--Pan-Z--Ag-Ni--LAMMPS--ipr1 listed in the NIST Interatomic Potentials Repository:
https://www.ctcms.nist.gov/potentials/entry/2018--Pan-Z-Borovikov-V-Mendelev-M-I-Sansoz-F--Ag-Ni/2018--Pan-Z--Ag-Ni--LAMMPS--ipr1.html
",metal,atomic,eam/fs,"[{'url': 'https://www.ctcms.nist.gov/potentials/Download/2018--Pan-Z-Borovikov-V-Mendelev-M-I-Sansoz-F--Ag-Ni/1/Ag-Ni.eam.fs', 'label': None, 'filename': 'Ag-Ni.eam.fs'}]","['Ag', 'Ni']","['Ag', 'Ni']"
2018--Setyawan-W--W-Re--LAMMPS--ipr1,5293e68a-6194-4d7c-a9e4-16426f51d9a9,2018--Setyawan-W--W-Re--LAMMPS--ipr1,https://potentials.nist.gov/pid/rest/local/potentials/2018--Setyawan-W--W-Re--LAMMPS--ipr1,,4054e2cb-fe2c-4bc4-84db-8448ad4bb7f4,2018--Setyawan-W-Gao-N-Kurtz-R-J--W-Re,https://potentials.nist.gov/pid/rest/local/potentials/potential.2018--Setyawan-W-Gao-N-Kurtz-R-J--W-Re,['10.1063/1.5030113'],"Potential 2018--Setyawan-W--W-Re--LAMMPS--ipr1 listed in the NIST Interatomic Potentials Repository:
https://www.ctcms.nist.gov/potentials/entry/2018--Setyawan-W-Gao-N-Kurtz-R-J--W-Re/2018--Setyawan-W--W-Re--LAMMPS--ipr1.html
",metal,atomic,eam/alloy,"[{'url': 'https://www.ctcms.nist.gov/potentials/Download/2018--Setyawan-W-Gao-N-Kurtz-R-J--W-Re/1/WRe_Setyawan_set145.eam.alloy', 'label': None, 'filename': 'WRe_Setyawan_set145.eam.alloy'}]","['W', 'Re']","['W', 'Re']"
2018--Smirnova-D-E--Mg-H--LAMMPS--ipr1,1c89550d-d2e0-4777-bd13-98cd3cb3c620,2018--Smirnova-D-E--Mg-H--LAMMPS--ipr1,https://potentials.nist.gov/pid/rest/local/potentials/2018--Smirnova-D-E--Mg-H--LAMMPS--ipr1,,9b94d565-98d8-4a45-ba5b-f45944960751,2018--Smirnova-D-E-Starikov-S-V-Vlasova-A-M--Mg-H,https://potentials.nist.gov/pid/rest/local/potentials/potential.2018--Smirnova-D-E-Starikov-S-V-Vlasova-A-M--Mg-H,['10.1016/j.commatsci.2018.07.051'],"Potential 2018--Smirnova-D-E--Mg-H--LAMMPS--ipr1 listed in the NIST Interatomic Potentials Repository:
https://www.ctcms.nist.gov/potentials/entry/2018--Smirnova-D-E-Starikov-S-V-Vlasova-A-M--Mg-H/2018--Smirnova-D-E--Mg-H--LAMMPS--ipr1.html
",metal,atomic,adp,"[{'url': 'https://www.ctcms.nist.gov/potentials/Download/2018--Smirnova-D-E-Starikov-S-V-Vlasova-A-M--Mg-H/1/Mg_H.adp.alloy.txt', 'label': None, 'filename': 'Mg_H.adp.alloy.txt'}]","['Mg', 'H']","['Mg', 'H']"
2018--Starikov-S-V--Si-Au--LAMMPS--ipr1,feb47afc-760d-4d8a-9ea1-2bd0018f7de9,2018--Starikov-S-V--Si-Au--LAMMPS--ipr1,https://potentials.nist.gov/pid/rest/local/potentials/2018--Starikov-S-V--Si-Au--LAMMPS--ipr1,superseded,a467c165-fb49-40e6-88ff-644eb1b639bd,2018--Starikov-S-V-Lopanitsyna-N-Y-Smirnova-D-E-Makarov-S-V--Si-Au,https://potentials.nist.gov/pid/rest/local/potentials/potential.2018--Starikov-S-V-Lopanitsyna-N-Y-Smirnova-D-E-Makarov-S-V--Si-Au,,,metal,atomic,adp,"[{'url': 'https://www.ctcms.nist.gov/potentials/Download/2018--Starikov-S-V-Lopanitsyna-N-Y-Smirnova-D-E-Makarov-S-V--Si-Au/1/Si_Au.adp.txt', 'label': None, 'filename': 'Si_Au.adp.txt'}]","['Si', 'Au']","['Si', 'Au']"
2018--Starikov-S-V--Si-Au--LAMMPS--ipr2,c6a02263-d6f5-47cd-9e45-c85ce4c017b2,2018--Starikov-S-V--Si-Au--LAMMPS--ipr2,https://potentials.nist.gov/pid/rest/local/potentials/2018--Starikov-S-V--Si-Au--LAMMPS--ipr2,,a467c165-fb49-40e6-88ff-644eb1b639bd,2018--Starikov-S-V-Lopanitsyna-N-Y-Smirnova-D-E-Makarov-S-V--Si-Au,https://potentials.nist.gov/pid/rest/local/potentials/potential.2018--Starikov-S-V-Lopanitsyna-N-Y-Smirnova-D-E-Makarov-S-V--Si-Au,['10.1016/j.commatsci.2017.09.054'],"Potential 2018--Starikov-S-V--Si-Au--LAMMPS--ipr2 listed in the NIST Interatomic Potentials Repository:
https://www.ctcms.nist.gov/potentials/entry/2018--Starikov-S-V-Lopanitsyna-N-Y-Smirnova-D-E-Makarov-S-V--Si-Au/2018--Starikov-S-V--Si-Au--LAMMPS--ipr2.html
",metal,atomic,adp,"[{'url': 'https://www.ctcms.nist.gov/potentials/Download/2018--Starikov-S-V-Lopanitsyna-N-Y-Smirnova-D-E-Makarov-S-V--Si-Au/2/Si_Au.mod.adp.txt', 'label': None, 'filename': 'Si_Au.mod.adp.txt'}]","['Si', 'Au']","['Si', 'Au']"
2018--Starikov-S-V--U-Mo--LAMMPS--ipr1,dde865b2-0583-4369-92fb-4319eabdc6f6,2018--Starikov-S-V--U-Mo--LAMMPS--ipr1,https://potentials.nist.gov/pid/rest/local/potentials/2018--Starikov-S-V--U-Mo--LAMMPS--ipr1,superseded,0363c268-9d42-4d82-9cc7-5a610c707c6c,2018--Starikov-S-V-Kolotova-L-N-Kuksin-A-Y-et-al--U-Mo,https://potentials.nist.gov/pid/rest/local/potentials/potential.2018--Starikov-S-V-Kolotova-L-N-Kuksin-A-Y-et-al--U-Mo,,,metal,atomic,adp,"[{'url': 'https://www.ctcms.nist.gov/potentials/Download/2018--Starikov-S-V-Kolotova-L-N-Kuksin-A-Y-et-al--U-Mo/1/U_Mo.adp.txt', 'label': None, 'filename': 'U_Mo.adp.txt'}]","['U', 'Mo']","['U', 'Mo']"
2018--Starikov-S-V--U-Mo--LAMMPS--ipr2,e302c10f-298b-4618-9444-007b0fb6eb72,2018--Starikov-S-V--U-Mo--LAMMPS--ipr2,https://potentials.nist.gov/pid/rest/local/potentials/2018--Starikov-S-V--U-Mo--LAMMPS--ipr2,,0363c268-9d42-4d82-9cc7-5a610c707c6c,2018--Starikov-S-V-Kolotova-L-N-Kuksin-A-Y-et-al--U-Mo,https://potentials.nist.gov/pid/rest/local/potentials/potential.2018--Starikov-S-V-Kolotova-L-N-Kuksin-A-Y-et-al--U-Mo,['10.1016/j.jnucmat.2017.11.047'],"Potential 2018--Starikov-S-V--U-Mo--LAMMPS--ipr2 listed in the NIST Interatomic Potentials Repository:
https://www.ctcms.nist.gov/potentials/entry/2018--Starikov-S-V-Kolotova-L-N-Kuksin-A-Y-et-al--U-Mo/2018--Starikov-S-V--U-Mo--LAMMPS--ipr2.html
",metal,atomic,adp,"[{'url': 'https://www.ctcms.nist.gov/potentials/Download/2018--Starikov-S-V-Kolotova-L-N-Kuksin-A-Y-et-al--U-Mo/2/U_Mo.alloy.adp_cor.txt', 'label': None, 'filename': 'U_Mo.alloy.adp_cor.txt'}]","['U', 'Mo']","['U', 'Mo']"
2018--Wang-K--Pb-II--LAMMPS--ipr1,38e8d0ca-534c-464c-bb20-c1e5c1341d7e,2018--Wang-K--Pb-II--LAMMPS--ipr1,https://potentials.nist.gov/pid/rest/local/potentials/2018--Wang-K--Pb-II--LAMMPS--ipr1,,8ded9172-8e27-478a-b8f9-eea237d2e830,2018--Wang-K-Zhu-W-Xiang-M-et-al--Pb-II,https://potentials.nist.gov/pid/rest/local/potentials/potential.2018--Wang-K-Zhu-W-Xiang-M-et-al--Pb-II,['10.1088/1361-651x/aaea55'],"Potential 2018--Wang-K--Pb-II--LAMMPS--ipr1 listed in the NIST Interatomic Potentials Repository:
https://www.ctcms.nist.gov/potentials/entry/2018--Wang-K-Zhu-W-Xiang-M-et-al--Pb-II/2018--Wang-K--Pb-II--LAMMPS--ipr1.html
",metal,atomic,eam/alloy,"[{'url': 'https://www.ctcms.nist.gov/potentials/Download/2018--Wang-K-Zhu-W-Xiang-M-et-al--Pb-II/1/Pb_Wang02.eam.fs', 'label': None, 'filename': 'Pb_Wang02.eam.fs'}]",['Pb'],['Pb']
2018--Zhou-X-W--Al-Cu-H--LAMMPS--ipr1,5f0b07da-04e8-40ba-a193-47c2a79883c5,2018--Zhou-X-W--Al-Cu-H--LAMMPS--ipr1,https://potentials.nist.gov/pid/rest/local/potentials/2018--Zhou-X-W--Al-Cu-H--LAMMPS--ipr1,,0dcce013-aa73-49bc-bb6d-d1ec28a31b52,2018--Zhou-X-W-Ward-D-K-Foster-M-E--Al-Cu-H,https://potentials.nist.gov/pid/rest/local/potentials/potential.2018--Zhou-X-W-Ward-D-K-Foster-M-E--Al-Cu-H,['10.1039/c8nj00513c'],"Potential 2018--Zhou-X-W--Al-Cu-H--LAMMPS--ipr1 listed in the NIST Interatomic Potentials Repository:
https://www.ctcms.nist.gov/potentials/entry/2018--Zhou-X-W-Ward-D-K-Foster-M-E--Al-Cu-H/2018--Zhou-X-W--Al-Cu-H--LAMMPS--ipr1.html
",metal,atomic,bop,"[{'url': 'https://www.ctcms.nist.gov/potentials/Download/2018--Zhou-X-W-Ward-D-K-Foster-M-E--Al-Cu-H/1/AlCuH_Dec3.t', 'label': None, 'filename': 'AlCuH_Dec3.t'}]","['Al', 'Cu', 'H']","['Al', 'Cu', 'H']"
